id,official_name,manufacturer,manufacturer_code,created_source,validation_status,visibility,is_active,proposed_classification
"a6bd3345-0191-4893-8ae7-ad99ab574a1c","Acoplamento Elástico","","","migration","pending_review","private","true","UNKNOWN"
"e0000000-0000-0000-0000-000000000012","Aditivo plastificante","","","migration","pending_review","private","true","UNKNOWN"
"77d47d17-faa9-426b-b007-c54431def48a","Arruela Lisa M10","","","migration","pending_review","private","true","UNKNOWN"
"e0000000-0000-0000-0000-000000000002","Barra de aço 1/2""","","","migration","pending_review","private","true","UNKNOWN"
"f9357dea-dd4a-4d7f-b558-a159e0f707b4","Barra Roscada 1/2""","","","migration","pending_review","private","true","UNKNOWN"
"3f30c01c-0b2f-433b-a29c-b048d9f8dfec","Bomba Centrífuga 2CV","","","migration","pending_review","private","true","UNKNOWN"
"8ee7729c-9f50-4e79-a04d-1b57af429af8","Botina de Segurança Nobuck","","","migration","pending_review","private","true","UNKNOWN"
"e0000000-0000-0000-0000-000000000010","Cabo blindado 4mm²","","","migration","pending_review","private","true","UNKNOWN"
"17fb9af8-b299-4653-84a0-dae22f802e22","Cabo Flexível 35mm","","","migration","pending_review","private","true","UNKNOWN"
"e0000000-0000-0000-0000-000000000004","Caixa de papelão 50x30x30","","","migration","pending_review","private","true","UNKNOWN"
"cbcf4584-52be-4fa7-8b68-fe56fc0b49ed","Capacete de Segurança Branco","","","migration","pending_review","private","true","UNKNOWN"
"0d03c4ee-4e37-4ccf-942f-aca441a2773a","Cerveja Light Lager","","","manual","pending_review","private","true","UNKNOWN"
"e0000000-0000-0000-0000-000000000001","Chapa de aço 3mm","","","migration","pending_review","private","true","UNKNOWN"
"deffebf5-2777-4652-90e9-b91bb1c4b490","Chave Fim de Curso","","","migration","pending_review","private","true","UNKNOWN"
"86517af0-7f97-4aa5-8093-361c0778d1c4","Chave Impacto 1200nm","","","manual","pending_review","private","true","UNKNOWN"
"6d44dc3f-fc52-4f4c-9a9c-161e24e41336","Chumbador Mecânico 3/8""","","","migration","pending_review","private","true","UNKNOWN"
"aaa4c795-885f-43b4-a586-70d2fcebdde5","Cilindro Pneumático ISO","","","migration","pending_review","private","true","UNKNOWN"
"90239f82-417f-49a4-ba8a-ff0b6ae62d02","Cinturão de Segurança","","","migration","pending_review","private","true","UNKNOWN"
"5b63174a-da04-483d-b0c1-b1316552be9b","CLP Compacto 14 Entradas","","","migration","pending_review","private","true","UNKNOWN"
"5fbd7776-3940-4ceb-8d89-fcd35d670d24","Conexão Rápida Reta 8mm","","","migration","pending_review","private","true","UNKNOWN"
"aded171a-71d8-485f-acd1-46b7d72c0f07","Contator 220V 32A","","","migration","pending_review","private","true","UNKNOWN"
"c6797a45-a4ec-4d68-a75a-aa46088fbdc8","Correia em V Perfil A45","","","migration","pending_review","private","true","UNKNOWN"
"4b748eb1-adbd-463e-805e-89e0d76e491c","Corrente de Transmissão ASA 60","","","migration","pending_review","private","true","UNKNOWN"
"c4f4a057-dc6e-4a53-a0b7-91b07801ef2b","Disco de Corte 4.5""","","","migration","pending_review","private","true","UNKNOWN"
"69c4b756-5ef9-4371-99e2-de15cb950142","Disjuntor Tripolar 100A","","","migration","pending_review","private","true","UNKNOWN"
"5dd2a6a3-b508-4e2d-8b31-fc87d35c3334","Eixo Linear Retificado 20mm","","","migration","pending_review","private","true","UNKNOWN"
"17ab494b-d89c-4369-a0c9-3aacc9933ffa","Eletrodo Revestido E7018 3.25mm","","","migration","pending_review","private","true","UNKNOWN"
"f01d3623-282c-47fb-bd14-ff1a0fbbff34","Engrenagem Cilíndrica Z20","","","migration","pending_review","private","true","UNKNOWN"
"e0000000-0000-0000-0000-000000000005","Filme stretch 10kg","","","migration","pending_review","private","true","UNKNOWN"
"e64d9907-0a0d-4350-b150-54745270e91a","Filtro Y Latão 1.1/2""","","","migration","pending_review","private","true","UNKNOWN"
"e0000000-0000-0000-0000-000000000006","Fita adesiva 50mm","","","migration","pending_review","private","true","UNKNOWN"
"2a3d8be2-5b83-4fea-91f7-2ab418efee2c","Fita Isolante Profissional","","","migration","pending_review","private","true","UNKNOWN"
